Key	English	EnglishUnitedKingdom	Korean	Japanese	ChineseSimplified	ChineseTraditional	Russian	German	French	FrenchCanadian	Spanish	SpanishMexican	SpanishArgentina	Polish	PortugueseBrazilian	Portuguese	Italian	Dutch	Turkish
NoReload	No Reload	No Reload	장전 없음	リロードなし	无需换弹	無需換彈	Без перезарядки	Kein Nachladen	Sans rechargement	Sans rechargement	Sin recarga	Sin recarga	Sin recarga	Bez przeładowania	Sem recarga	Sem recarga	Senza ricarica	Niet herladen	Yeniden Doldurma Yok
RapidFire	Rapid Fire	Rapid Fire	속사	速射	速射	速射	Скорострельность	Schnellfeuer	Tir rapide	Tir rapide	Fuego rápido	Fuego rápido	Fuego rápido	Szybki ogień	Tiro rápido	Tiro rápido	Fuoco rapido	Snel vuren	Hızlı Ateş
NoRecoil	No Recoil	No Recoil	무반동	無反動	无后坐力	無後坐力	Без отдачи	Kein Rückstoß	Sans recul	Sans recul	Sin retroceso	Sin retroceso	Sin retroceso	Bez odrzutu	Sem recuo	Sem recuo	Senza rinculo	Geen terugslag	Geri Tepme Yok
PerfectAim	Perfect Aim	Perfect Aim	완벽한 조준	完璧な照準	完美瞄准	完美瞄準	Идеальный прицел	Perfektes Zielen	Visée parfaite	Visée parfaite	Puntería perfecta	Puntería perfecta	Puntería perfecta	Idealne celowanie	Mira perfeita	Mira perfeita	Mira perfetta	Perfecte aim	Mükemmel Nişan
AllCheatsOff	Reset All	Reset All	모두 초기화	全リセット	重置全部	重置全部	Сброс всего	Alles zurücksetzen	Tout réinitialiser	Tout réinitialiser	Reiniciar todo	Reiniciar todo	Reiniciar todo	Zresetuj wszystko	Redefinir tudo	Redefinir tudo	Reinizializza tutto	Alles resetten	Hepsini Sıfırla
TweakSectionHeader	★ Balance Tweaks	★ Balance Tweaks	★ 밸런스 트윅	★ バランス調整	★ 平衡调整	★ 平衡調整	★ Баланс	★ Spielbalance	★ Réglages	★ Réglages	★ Ajustes	★ Ajustes	★ Ajustes	★ Balans	★ Ajustes	★ Ajustes	★ Bilanciamento	★ Balans	★ Denge Ayarı
TweakActiveLabel	Active: {0}	Active: {0}	활성: {0}	アクティブ: {0}	当前: {0}	目前: {0}	Активно: {0}	Aktiv: {0}	Actif: {0}	Actif: {0}	Activo: {0}	Activo: {0}	Activo: {0}	Aktywny: {0}	Ativo: {0}	Ativo: {0}	Attivo: {0}	Actief: {0}	Etkin: {0}
TweakMortal	Mortal	Mortal	모탈	モータル	凡人	凡人	Смертный	Sterblich	Mortel	Mortel	Mortal	Mortal	Mortal	Śmiertelnik	Mortal	Mortal	Mortale	Sterfelijk	Ölümlü
TweakHunter	Hunter	Hunter	헌터	ハンター	猎手	獵手	Охотник	Jäger	Chasseur	Chasseur	Cazador	Cazador	Cazador	Łowca	Caçador	Caçador	Cacciatore	Jager	Avcı
TweakSlayer	Slayer	Slayer	슬레이어	スレイヤー	猎魔人	獵魔人	Истребитель	Vernichter	Pourfendeur	Pourfendeur	Aniquilador	Aniquilador	Aniquilador	Pogromca	Exterminador	Exterminador	Sterminatore	Verdelger	Katil
TweakDemon	Demon	Demon	데몬	デーモン	恶魔	惡魔	Демон	Dämon	Démon	Démon	Demonio	Demonio	Demonio	Demon	Demônio	Demônio	Demone	Demon	İblis
TweakApocalypse	Apocalypse	Apocalypse	아포칼립스	アポカリプス	末日	末日	Апокалипсис	Apokalypse	Apocalypse	Apocalypse	Apocalipsis	Apocalipsis	Apocalipsis	Apokalipsa	Apocalipse	Apocalipse	Apocalisse	Apocalyps	Kıyamet
SpawnNote	* Next spawn onwards	* Next spawn onwards	* 다음 스폰부터 적용	* 次スポーンから適用	* 下次生成时生效	* 下次生成時生效	* Со следующего спауна	* Ab nächstem Spawn	* Dès le prochain spawn	* Dès le prochain spawn	* Desde el próx. spawn	* Desde el próx. spawn	* Desde el próx. spawn	* Od następnego spawnu	* A partir do próx. spawn	* A partir do próx. spawn	* Dal prossimo spawn	* Volgende spawn	* Sonraki spawn'dan
DpsSubWithPeak	▲pk {0}   {1} hits   tot {2}	▲pk {0}   {1} hits   tot {2}	▲pk {0}   {1} hits   합계 {2}	▲pk {0}   {1} ヒット   合計 {2}	▲峰值 {0}   {1} 次   总 {2}	▲峰值 {0}   {1} 次   總 {2}	▲пик {0}   {1} уд.   итог {2}	▲Spitze {0}   {1} Tr.   Ges. {2}	▲pk {0}   {1} coups   tot. {2}	▲pk {0}   {1} coups   tot. {2}	▲máx {0}   {1} golpes   tot. {2}	▲máx {0}   {1} golpes   tot. {2}	▲máx {0}   {1} golpes   tot. {2}	▲szcz. {0}   {1} tr.   łącz. {2}	▲máx {0}   {1} acertos   tot. {2}	▲máx {0}   {1} acertos   tot. {2}	▲picco {0}   {1} colpi   tot. {2}	▲piek {0}   {1} tr.   tot. {2}	▲zirve {0}   {1} isabet   top. {2}
DpsSubNoPeak	{0} hits   total {1}	{0} hits   total {1}	{0} hits   합계 {1}	{0} ヒット   合計 {1}	{0} 次   总 {1}	{0} 次   總 {1}	{0} уд.   итого {1}	{0} Treffer   Gesamt {1}	{0} coups   total {1}	{0} coups   total {1}	{0} golpes   total {1}	{0} golpes   total {1}	{0} golpes   total {1}	{0} traf.   łącznie {1}	{0} acertos   total {1}	{0} acertos   total {1}	{0} colpi   totale {1}	{0} tref.   totaal {1}	{0} isabet   toplam {1}
CoopStatusDisconnected	Not connected	Not connected	연결 안됨	未接続	未连接	未連接	Не подключено	Nicht verbunden	Non connecté	Non connecté	No conectado	No conectado	No conectado	Nie połączono	Não conectado	Não conectado	Non connesso	Niet verbonden	Bağlı değil
CoopConnected	Connected	Connected	연결됨	接続済み	已连接	已連接	Подключено	Verbunden	Connecté	Connecté	Conectado	Conectado	Conectado	Połączono	Conectado	Conectado	Connesso	Verbonden	Bağlandı
CoopWaiting	Waiting...	Waiting...	대기 중	待機中	等待中	等待中	Ожидание...	Warten...	En attente...	En attente...	Esperando...	Esperando...	Esperando...	Oczekiwanie...	Aguardando...	Aguardando...	In attesa...	Wachten...	Bekleniyor...
CoopCreateLobby	Create Lobby (max 4)	Create Lobby (max 4)	방 만들기 (최대 4인)	ロビー作成 (最大4人)	创建房间 (最多4人)	建立房間 (最多4人)	Создать лобби (макс. 4)	Lobby erstellen (max. 4)	Créer un salon (max. 4)	Créer un salon (max. 4)	Crear sala (máx. 4)	Crear sala (máx. 4)	Crear sala (máx. 4)	Utwórz lobby (maks. 4)	Criar sala (máx. 4)	Criar sala (máx. 4)	Crea lobby (max. 4)	Lobby maken (max. 4)	Lobi Oluştur (maks. 4)
CoopLobbyIdLabel	Lobby ID (Steam Lobby ID):	Lobby ID (Steam Lobby ID):	로비 ID (Steam Lobby ID):	ロビーID (Steam Lobby ID):	大厅ID (Steam Lobby ID):	大廳ID (Steam Lobby ID):	ID лобби (Steam Lobby ID):	Lobby-ID (Steam Lobby ID):	ID salon (Steam Lobby ID):	ID salon (Steam Lobby ID):	ID sala (Steam Lobby ID):	ID sala (Steam Lobby ID):	ID sala (Steam Lobby ID):	ID lobby (Steam Lobby ID):	ID sala (Steam Lobby ID):	ID sala (Steam Lobby ID):	ID lobby (Steam Lobby ID):	Lobby-ID (Steam Lobby ID):	Lobi ID (Steam Lobby ID):
CoopLobbyIdEmpty	(empty)	(empty)	(비어있음)	(空)	(空)	(空)	(пусто)	(leer)	(vide)	(vide)	(vacío)	(vacío)	(vacío)	(puste)	(vazio)	(vazio)	(vuoto)	(leeg)	(boş)
CoopPasteClipboard	Paste from clipboard	Paste from clipboard	클립보드에서 붙여넣기	クリップボードから貼り付け	从剪贴板粘贴	從剪貼簿貼上	Вставить из буфера	Aus Zwischenablage	Coller du presse-papier	Coller du presse-papier	Pegar del portapapeles	Pegar del portapapeles	Pegar del portapapeles	Wklej ze schowka	Colar da área transf.	Colar da área transf.	Incolla dagli appunti	Plakken uit klembord	Panodan Yapıştır
CoopClear	Clear	Clear	지우기	クリア	清除	清除	Очистить	Löschen	Effacer	Effacer	Borrar	Borrar	Borrar	Wyczyść	Limpar	Limpar	Cancella	Wissen	Temizle
CoopJoin	Join	Join	참가	参加	加入	加入	Войти	Beitreten	Rejoindre	Rejoindre	Unirse	Unirse	Unirse	Dołącz	Entrar	Entrar	Partecipa	Deelnemen	Katıl
CoopLeave	Leave Lobby	Leave Lobby	로비 떠나기	ロビーを出る	离开房间	離開房間	Покинуть лобби	Lobby verlassen	Quitter le salon	Quitter le salon	Salir de la sala	Salir de la sala	Salir de la sala	Opuść lobby	Sair da sala	Sair da sala	Lascia lobby	Lobby verlaten	Lobiden Ayrıl
CoopXpIndependent	Independent	Independent	독립	独立	独立	獨立	Независим.	Unabhängig	Indépendant	Indépendant	Independiente	Independiente	Independiente	Niezależny	Independente	Independente	Indipendente	Onafhankelijk	Bağımsız
CoopXpReplicate	Replicate	Replicate	복제	複製	复制	複製	Дублировать	Replizieren	Répliquer	Répliquer	Replicar	Replicar	Replicar	Replikuj	Replicar	Replicar	Replica	Repliceren	Çoğalt
CoopXpSplit	Split	Split	분할	分割	分割	分割	Делить	Teilen	Partager	Partager	Dividir	Dividir	Dividir	Podziel	Dividir	Dividir	Dividi	Verdelen	Böl
CoopXpIndependentDesc	Each player earns XP independently (no sync)	Each player earns XP independently (no sync)	각자 독립적으로 XP 획득 (동기화 없음)	各自独立してXPを獲得 (同期なし)	各自独立获取XP (不同步)	各自獨立獲取XP (不同步)	Каждый получает XP независимо	Jeder erhält XP unabhängig (kein Sync)	Chaque joueur gagne des XP indép.	Chaque joueur gagne des XP indép.	Cada jugador gana XP independientemente	Cada jugador gana XP independientemente	Cada jugador gana XP independientemente	Każdy gracz zdobywa XP niezależnie	Cada jogador ganha XP independentemente	Cada jogador ganha XP independentemente	Ogni giocatore guadagna XP indip.	Elke speler verdient XP onafhankelijk	Her oyuncu XP'yi bağımsız kazanır
CoopXpReplicateDesc	Host XP is replicated to Guest (default)	Host XP is replicated to Guest (default)	Host XP를 Guest에게 그대로 복제 (기본)	HostのXPをGuestに複製 (デフォルト)	将Host XP复制给Guest (默认)	將Host XP複製給Guest (預設)	XP хоста копируется гостю (по умолч.)	Host-XP wird an Gast kopiert (Standard)	XP hôte répliqué au client (défaut)	XP hôte répliqué au client (défaut)	XP anfitrión replicado al invitado (pred.)	XP anfitrión replicado al invitado (pred.)	XP anfitrión replicado al invitado (pred.)	XP hosta kopiowany do gościa (domyślnie)	XP do host replicado ao convidado (padrão)	XP do host replicado ao convidado (padrão)	XP host replicato al guest (pred.)	Host-XP gekopieerd naar gast (standaard)	Host XP'si misafire kopyalanır (varsayılan)
CoopXpSplitDesc	Half of Host XP is sent to Guest	Half of Host XP is sent to Guest	Host XP의 절반을 Guest에게 전달	HostのXPの半分をGuestに転送	将Host XP的一半发送给Guest	將Host XP的一半發送給Guest	Половина XP хоста отправляется гостю	Halbe Host-XP wird an Gast gesendet	Moitié XP hôte envoyée au client	Moitié XP hôte envoyée au client	Mitad del XP del anfitrión al invitado	Mitad del XP del anfitrión al invitado	Mitad del XP del anfitrión al invitado	Połowa XP hosta wysyłana do gościa	Metade do XP do host ao convidado	Metade do XP do host ao convidado	Metà XP host inviata al guest	Helft host-XP naar gast gestuurd	Host XP'sinin yarısı misafire gönderilir
CoopRefresh	Refresh	Refresh	새로고침	更新	刷新	重新整理	Обновить	Aktualisieren	Actualiser	Actualiser	Actualizar	Actualizar	Actualizar	Odśwież	Atualizar	Atualizar	Aggiorna	Vernieuwen	Yenile
CoopFriendsOnlineCount	({0} online)	({0} online)	({0}명 온라인)	({0}人 オンライン)	({0}人 在线)	({0}人 在線)	({0} в сети)	({0} online)	({0} en ligne)	({0} en ligne)	({0} en línea)	({0} en línea)	({0} en línea)	({0} online)	({0} online)	({0} online)	({0} online)	({0} online)	({0} çevrimiçi)
CoopFriendsLoadPrompt	Press [Refresh] to load friends list	Press [Refresh] to load friends list	[새로고침]을 눌러 친구 목록 불러오기	[更新]を押して友達リストを読み込む	按[刷新]加载好友列表	按[重新整理]載入好友清單	Нажмите [Обновить] для загрузки	[Aktualisieren] für Freundesliste	Appuyez sur [Actualiser] pour amis	Appuyez sur [Actualiser] pour amis	Pulsa [Actualizar] para amigos	Pulsa [Actualizar] para amigos	Pulsa [Actualizar] para amigos	Naciśnij [Odśwież] dla znajomych	Pressione [Atualizar] para amigos	Pressione [Atualizar] para amigos	Premi [Aggiorna] per gli amici	Druk op [Vernieuwen] voor vrienden	Arkadaşlar için [Yenile]'ye bas
CoopFriendsNone	No friends online	No friends online	온라인 친구 없음	オンラインの友達なし	没有在线好友	沒有在線好友	Нет друзей в сети	Keine Freunde online	Aucun ami en ligne	Aucun ami en ligne	Sin amigos en línea	Sin amigos en línea	Sin amigos en línea	Brak znajomych online	Sem amigos online	Sem amigos online	Nessun amico online	Geen vrienden online	Çevrimiçi arkadaş yok
CoopInvite	Invite	Invite	초대	招待	邀请	邀請	Пригласить	Einladen	Inviter	Inviter	Invitar	Invitar	Invitar	Zaproś	Convidar	Convidar	Invita	Uitnodigen	Davet Et
OverlayHidden	Hidden	Hidden	숨김	非表示	隐藏	隱藏	Скрыть	Versteckt	Masqué	Masqué	Ocultar	Ocultar	Ocultar	Ukryj	Ocultar	Ocultar	Nascondi	Verbergen	Gizle
OverlayTopLeft	Top Left	Top Left	상단 좌	左上	左上	左上	Лев. верх	Oben links	Haut gauche	Haut gauche	Arr. izq.	Arr. izq.	Arr. izq.	Lew. górny	Sup. esq.	Sup. esq.	Alto sin.	Links boven	Sol üst
OverlayTopCenter	Top Center	Top Center	상단 중	中央上	上中	上中	Верх центр	Oben Mitte	Haut centre	Haut centre	Arr. centro	Arr. centro	Arr. centro	Górny środ.	Sup. centro	Sup. centro	Alto centro	Boven midden	Üst orta
OverlayTopRight	Top Right	Top Right	상단 우	右上	右上	右上	Пр. верх	Oben rechts	Haut droite	Haut droite	Arr. der.	Arr. der.	Arr. der.	Praw. górny	Sup. dir.	Sup. dir.	Alto des.	Rechts boven	Sağ üst
ShortcutHint	[F5] Menu  [F6] Heal  [F7] Lv+	[F5] Menu  [F6] Heal  [F7] Lv+	[F5] 메뉴  [F6] 회복  [F7] Lv+	[F5] メニュー  [F6] 回復  [F7] Lv+	[F5] 菜单  [F6] 回血  [F7] 升级	[F5] 選單  [F6] 回血  [F7] 升級	[F5] Меню  [F6] Лечение  [F7] Ур.+	[F5] Menü  [F6] Heilen  [F7] Lv+	[F5] Menu  [F6] Soin  [F7] Nv+	[F5] Menu  [F6] Soin  [F7] Nv+	[F5] Menú  [F6] Curar  [F7] Nv+	[F5] Menú  [F6] Curar  [F7] Nv+	[F5] Menú  [F6] Curar  [F7] Nv+	[F5] Menu  [F6] Lecz  [F7] Poz.+	[F5] Menu  [F6] Curar  [F7] Nv+	[F5] Menu  [F6] Curar  [F7] Nv+	[F5] Menu  [F6] Cura  [F7] Lv+	[F5] Menu  [F6] Healen  [F7] Lv+	[F5] Menü  [F6] İyileştir  [F7] Sv+
BotPlayersOn	Bot Players  [ON]	Bot Players  [ON]	봇 플레이어  [ON]	ボットプレイヤー  [ON]	机器人玩家  [ON]	機器人玩家  [ON]	Бот-игроки  [ВКЛ]	Bot-Spieler  [AN]	Joueurs bots  [ON]	Joueurs bots  [ON]	Jugadores bot  [ON]	Jugadores bot  [ON]	Jugadores bot  [ON]	Gracze-boty  [WŁ]	Jogadores bot  [ON]	Jogadores bot  [ON]	Giocatori bot  [ON]	Bot-spelers  [AAN]	Bot Oyuncular  [AÇIK]
BotPlayersOff	Bot Players  [OFF]	Bot Players  [OFF]	봇 플레이어  [OFF]	ボットプレイヤー  [OFF]	机器人玩家  [OFF]	機器人玩家  [OFF]	Бот-игроки  [ВЫКЛ]	Bot-Spieler  [AUS]	Joueurs bots  [OFF]	Joueurs bots  [OFF]	Jugadores bot  [OFF]	Jugadores bot  [OFF]	Jugadores bot  [OFF]	Gracze-boty  [WYŁ]	Jogadores bot  [OFF]	Jogadores bot  [OFF]	Giocatori bot  [OFF]	Bot-spelers  [UIT]	Bot Oyuncular  [KAPALI]
BotStatusEmpty	  (visible after game starts)	  (visible after game starts)	  (게임 시작 후 표시)	  (ゲーム開始後表示)	  (游戏开始后显示)	  (遊戲開始後顯示)	  (после старта игры)	  (nach Spielstart)	  (visible après démarrage)	  (visible après démarrage)	  (visible tras inicio)	  (visible tras inicio)	  (visible tras inicio)	  (widoczne po starcie)	  (visível após início)	  (visível após início)	  (visibile dopo avvio)	  (zichtbaar na start)	  (oyun başlayınca görünür)
BotTracking	  Tracking: {0} (bots+peers)	  Tracking: {0} (bots+peers)	  추적 중: {0}명 (봇+피어)	  追跡中: {0}人 (ボット+ピア)	  追踪中: {0}人 (机器人+玩家)	  追蹤中: {0}人 (機器人+玩家)	  Отслеж.: {0} (боты+игроки)	  Verfolgt: {0} (Bots+Peers)	  Suivi: {0} (bots+pairs)	  Suivi: {0} (bots+pairs)	  Seguim.: {0} (bots+pares)	  Seguim.: {0} (bots+pares)	  Seguim.: {0} (bots+pares)	  Śledzenie: {0} (boty+gracze)	  Rastrear: {0} (bots+pares)	  Rastrear: {0} (bots+pares)	  Tracciamento: {0} (bot+pari)	  Bijhouden: {0} (bots+peers)	  Takip: {0} (bot+oyuncu)
BotDisabledNote	  Enable bots to test capsule avatar rendering	  Enable bots to test capsule avatar rendering	  봇 활성화 시 캡슐 아바타 렌더링 테스트	  ボットを有効にしてカプセルアバターテスト	  启用机器人以测试胶囊虚拟形象渲染	  啟用機器人以測試膠囊虛擬形象渲染	  Включите ботов для теста аватаров	  Bots für Kapsel-Avatar-Test aktivieren	  Activer les bots pour tester les avatars	  Activer les bots pour tester les avatars	  Activar bots para probar avatares	  Activar bots para probar avatares	  Activar bots para probar avatares	  Włącz boty, aby testować awatary	  Ativar bots para testar avatares	  Ativar bots para testar avatares	  Attiva bot per testare avatar	  Bots inschakelen voor avatar-test	  Kapsül avatar testi için botları etkinleştir
UpdateAvailable	Update available: {0} → {1}	Update available: {0} → {1}	업데이트 있음: {0} → {1}	アップデートあり: {0} → {1}	有更新: {0} → {1}	有更新: {0} → {1}	Доступно обновление: {0} → {1}	Update verfügbar: {0} → {1}	Mise à jour: {0} → {1}	Mise à jour: {0} → {1}	Actualización: {0} → {1}	Actualización: {0} → {1}	Actualización: {0} → {1}	Aktualizacja: {0} → {1}	Atualização: {0} → {1}	Atualização: {0} → {1}	Aggiornamento: {0} → {1}	Update beschikbaar: {0} → {1}	Güncelleme mevcut: {0} → {1}
UpdateDismiss	Dismiss	Dismiss	닫기	閉じる	关闭	關閉	Закрыть	Schließen	Fermer	Fermer	Cerrar	Cerrar	Cerrar	Zamknij	Fechar	Fechar	Chiudi	Sluiten	Kapat
